benchmark,implementation,metric,unit,run_1,run_2,run_3,median
SBPF-program,Stage-1,Median runtime,s,182.309157712,174.301450236,172.046699118,174.301450236
SBPF-program,Stage-1,Peak RSS,MiB,2087.097656250,2087.062500000,2087.062500000,2087.062500000
SBPF-program,Stage-1,Heap allocation,MiB/case,373.700626948,373.700626948,373.700626948,373.700626948
SBPF-program,Stage-1,Host instructions,instructions/case,TBD,TBD,TBD,TBD
SBPF-program,Stage-2 minus Copy,Median runtime,s,0.038668652,0.046347818,0.043119773,0.043119773
SBPF-program,Stage-2 minus Copy,Peak RSS,MiB,8.640625000,8.546875000,8.691406250,8.640625000
SBPF-program,Stage-2 minus Copy,Heap allocation,MiB/case,0.130889684,0.130889684,0.130889684,0.130889684
SBPF-program,Stage-2 minus Copy,Host instructions,instructions/case,TBD,TBD,TBD,TBD
SBPF-program,Stage-2 minus Borrow,Median runtime,s,0.127632348,0.136753287,0.124243814,0.127632348
SBPF-program,Stage-2 minus Borrow,Peak RSS,MiB,6.039062500,6.125000000,6.093750000,6.093750000
SBPF-program,Stage-2 minus Borrow,Heap allocation,MiB/case,0.845668322,0.845668322,0.845668322,0.845668322
SBPF-program,Stage-2 minus Borrow,Host instructions,instructions/case,TBD,TBD,TBD,TBD
SBPF-program,Stage-2 minus Mut,Median runtime,s,3.034164395,3.174980864,2.917220025,3.034164395
SBPF-program,Stage-2 minus Mut,Peak RSS,MiB,2087.101562500,2087.082031250,2087.027343750,2087.082031250
SBPF-program,Stage-2 minus Mut,Heap allocation,MiB/case,11.833790087,11.833790087,11.833790087,11.833790087
SBPF-program,Stage-2 minus Mut,Host instructions,instructions/case,TBD,TBD,TBD,TBD
SBPF-program,Stage-2 Full,Median runtime,s,0.038927095,0.038809162,0.039519891,0.038927095
SBPF-program,Stage-2 Full,Peak RSS,MiB,8.644531250,8.640625000,8.640625000,8.640625000
SBPF-program,Stage-2 Full,Heap allocation,MiB/case,0.130889684,0.130889684,0.130889684,0.130889684
SBPF-program,Stage-2 Full,Host instructions,instructions/case,TBD,TBD,TBD,TBD
SBPF-program,OCaml baseline,Median runtime,s,0.276332092,0.312345457,0.195636797,0.276332092
SBPF-program,OCaml baseline,Peak RSS,MiB,9.464843750,9.503906250,9.394531250,9.464843750
SBPF-program,OCaml baseline,Heap allocation,MiB/case,2.539449488,2.539449488,2.539449488,2.539449488
SBPF-program,OCaml baseline,Host instructions,instructions/case,TBD,TBD,TBD,TBD
SBPF-program,Case-study baseline,Median runtime,s,0.000047628,0.000051748,0.000114484,0.000051748
SBPF-program,Case-study baseline,Peak RSS,MiB,25.371093750,25.355468750,25.398437500,25.371093750
SBPF-program,Case-study baseline,Heap allocation,MiB/case,0.000000000,0.000000000,0.000000000,0.000000000
SBPF-program,Case-study baseline,Host instructions,instructions/case,TBD,TBD,TBD,TBD
SBPF-instruction,Stage-1,Median runtime,s,13.175137303,11.327755512,14.976424056,13.175137303
SBPF-instruction,Stage-1,Peak RSS,MiB,24.546875000,24.558593750,24.570312500,24.558593750
SBPF-instruction,Stage-1,Heap allocation,KiB/step,1077.518020833,1077.518020833,1077.518020833,1077.518020833
SBPF-instruction,Stage-1,Host instructions,instructions/step,TBD,TBD,TBD,TBD
SBPF-instruction,Stage-2 minus Copy,Median runtime,s,0.074683833,0.076779390,0.075116189,0.075116189
SBPF-instruction,Stage-2 minus Copy,Peak RSS,MiB,24.582031250,24.640625000,24.652343750,24.640625000
SBPF-instruction,Stage-2 minus Copy,Heap allocation,KiB/step,17.351916667,17.351916667,17.351916667,17.351916667
SBPF-instruction,Stage-2 minus Copy,Host instructions,instructions/step,TBD,TBD,TBD,TBD
SBPF-instruction,Stage-2 minus Borrow,Median runtime,s,0.131877418,0.129595601,0.133095342,0.131877418
SBPF-instruction,Stage-2 minus Borrow,Peak RSS,MiB,24.535156250,24.621093750,24.660156250,24.621093750
SBPF-instruction,Stage-2 minus Borrow,Heap allocation,KiB/step,31.191869792,31.191869792,31.191869792,31.191869792
